State,Year,Mechanism,Race,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Arizona,2019,"Pedal cyclist, other",White,13**,"6,120,738",0.21**,0.20**,297
Arizona,2019,"Pedal cyclist, other",American Indian / Alaska Native,--,"415,075",--,--,--
Arizona,2019,"Pedestrian, other",White,--,"6,120,738",--,--,--
Arizona,2019,"Pedestrian, other",American Indian / Alaska Native,--,"415,075",--,--,--
Arizona,2019,"Transport, other land",White,36,"6,120,738",0.59,0.57,608
Arizona,2019,"Transport, other land",Black,--,"434,571",--,--,--
Arizona,2019,"Transport, other land",American Indian / Alaska Native,--,"415,075",--,--,--
Arizona,2019,"Transport, other (excl. drown by water transp)",White,16**,"6,120,738",0.26**,0.26**,307
Arizona,2019,"Transport, other (excl. drown by water transp)",American Indian / Alaska Native,--,"415,075",--,--,--
Arizona,2019,"Transport, other (excl. drown by water transp)",Asian / HI Native / Pac. Islander,--,"321,459",--,--,--
Arizona,2019,Other specified and classifiable,White,43,"6,120,738",0.7,0.69,738
Arizona,2019,Other specified and classifiable,Black,--,"434,571",--,--,--
Arizona,2019,Other specified and classifiable,American Indian / Alaska Native,11**,"415,075",2.65**,2.62**,259
Arizona,2019,Other specified and classifiable,Asian / HI Native / Pac. Islander,--,"321,459",--,--,--
Arizona,2019,Other specified / NEC,White,36,"6,120,738",0.59,0.5,392
Arizona,2019,Other specified / NEC,Black,--,"434,571",--,--,--
Arizona,2019,Other specified / NEC,American Indian / Alaska Native,--,"415,075",--,--,--
Arizona,2019,Other specified / NEC,Asian / HI Native / Pac. Islander,--,"321,459",--,--,--
Arizona,2019,Unspecified,White,103,"6,120,738",1.68,1.48,"1,528"
Arizona,2019,Unspecified,Black,--,"434,571",--,--,--
Arizona,2019,Unspecified,American Indian / Alaska Native,24,"415,075",5.78,6.1,587
Arizona,2019,Unspecified,Asian / HI Native / Pac. Islander,--,"321,459",--,--,--
Arizona,2018,Cut/Pierce,White,42,"6,026,621",0.7,0.71,"1,004"
Arizona,2018,Cut/Pierce,Black,10**,"418,432",2.39**,2.34**,310
Arizona,2018,Cut/Pierce,American Indian / Alaska Native,14**,"409,153",3.42**,3.95**,342
Arizona,2018,Cut/Pierce,Asian / HI Native / Pac. Islander,--,"310,022",--,--,--
Arizona,2018,Drowning (includes water transport),White,85,"6,026,621",1.41,1.41,"2,426"
Arizona,2018,Drowning (includes water transport),Black,10**,"418,432",2.39**,2.26**,338
Arizona,2018,Drowning (includes water transport),American Indian / Alaska Native,10**,"409,153",2.44**,2.54**,319
Arizona,2018,Drowning (includes water transport),Asian / HI Native / Pac. Islander,--,"310,022",--,--,--
Arizona,2018,Fall,White,"1,035","6,026,621",17.17,12.26,"1,341"
Arizona,2018,Fall,Black,16**,"418,432",3.82**,7.42**,55
Arizona,2018,Fall,American Indian / Alaska Native,43,"409,153",10.51,16.42,192
Arizona,2018,Fall,Asian / HI Native / Pac. Islander,22,"310,022",7.1,11.18,36
Arizona,2018,Fire/Flame,White,31,"6,026,621",0.51,0.44,379
Arizona,2018,Fire/Flame,American Indian / Alaska Native,--,"409,153",--,--,--
Arizona,2018,Hot object/Substance,White,--,"6,026,621",--,--,--
Arizona,2018,Hot object/Substance,American Indian / Alaska Native,--,"409,153",--,--,--
Arizona,2018,Firearm,White,979,"6,026,621",16.25,15.19,"18,481"
Arizona,2018,Firearm,Black,95,"418,432",22.7,22.03,"3,001"
Arizona,2018,Firearm,American Indian / Alaska Native,58,"409,153",14.18,14.33,"1,747"
Arizona,2018,Firearm,Asian / HI Native / Pac. Islander,15**,"310,022",4.84**,4.66**,451
Arizona,2018,Machinery,White,--,"6,026,621",--,--,--
Arizona,2018,Natural/Environmental,White,93,"6,026,621",1.54,1.24,708
Arizona,2018,Natural/Environmental,Black,--,"418,432",--,--,--
Arizona,2018,Natural/Environmental,American Indian / Alaska Native,18**,"409,153",4.40**,5.30**,176
Arizona,2018,Natural/Environmental,Asian / HI Native / Pac. Islander,--,"310,022",--,--,--
Arizona,2018,Drug Poisoning,White,"1,443","6,026,621",23.94,24.59,"32,191"
Arizona,2018,Drug Poisoning,Black,109,"418,432",26.05,26.45,"2,369"
Arizona,2018,Drug Poisoning,American Indian / Alaska Native,95,"409,153",23.22,23.75,"2,735"
Arizona,2018,Drug Poisoning,Asian / HI Native / Pac. Islander,23,"310,022",7.42,6.66,674
Arizona,2018,Non-Drug Poisoning,White,104,"6,026,621",1.73,1.65,"1,842"
Arizona,2018,Non-Drug Poisoning,Black,--,"418,432",--,--,--
Arizona,2018,Non-Drug Poisoning,American Indian / Alaska Native,52,"409,153",12.71,14.53,946
Arizona,2018,Struck by / against,White,15**,"6,026,621",0.25**,0.24**,230
Arizona,2018,Struck by / against,American Indian / Alaska Native,--,"409,153",--,--,--
Arizona,2018,Suffocation,White,364,"6,026,621",6.04,5.95,"8,071"
Arizona,2018,Suffocation,Black,23,"418,432",5.5,5.43,910
Arizona,2018,Suffocation,American Indian / Alaska Native,91,"409,153",22.24,20.78,"3,284"
Arizona,2018,Suffocation,Asian / HI Native / Pac. Islander,13**,"310,022",4.19**,4.61**,376
Arizona,2018,"Motor vehicle, traffic",White,753,"6,026,621",12.5,11.68,"15,240"
Arizona,2018,"Motor vehicle, traffic",Black,56,"418,432",13.38,13.19,"1,596"
Arizona,2018,"Motor vehicle, traffic",American Indian / Alaska Native,171,"409,153",41.79,45.18,"4,612"
Arizona,2018,"Motor vehicle, traffic",Asian / HI Native / Pac. Islander,21,"310,022",6.77,6.68,384
Arizona,2018,"Pedal cyclist, other",White,13**,"6,026,621",0.22**,0.19**,138
Arizona,2018,"Pedal cyclist, other",American Indian / Alaska Native,--,"409,153",--,--,--
Arizona,2018,"Pedal cyclist, other",Asian / HI Native / Pac. Islander,--,"310,022",--,--,--
Arizona,2018,"Pedestrian, other",White,11**,"6,026,621",0.18**,0.19**,309
Arizona,2018,"Pedestrian, other",Black,--,"418,432",--,--,--
Arizona,2018,"Pedestrian, other",American Indian / Alaska Native,--,"409,153",--,--,--
Arizona,2018,"Transport, other land",White,37,"6,026,621",0.61,0.61,861
Arizona,2018,"Transport, other land",American Indian / Alaska Native,--,"409,153",--,--,--
Arizona,2018,"Transport, other land",Asian / HI Native / Pac. Islander,--,"310,022",--,--,--
Arizona,2018,"Transport, other (excl. drown by water transp)",White,12**,"6,026,621",0.20**,0.16**,82
Arizona,2018,Other specified and classifiable,White,52,"6,026,621",0.86,0.83,"1,061"
Arizona,2018,Other specified and classifiable,Black,--,"418,432",--,--,--
Arizona,2018,Other specified and classifiable,American Indian / Alaska Native,--,"409,153",--,--,--
Arizona,2018,Other specified / NEC,White,47,"6,026,621",0.78,0.73,826
Arizona,2018,Other specified / NEC,Black,--,"418,432",--,--,--
Arizona,2018,Other specified / NEC,American Indian / Alaska Native,--,"409,153",--,--,--
Arizona,2018,Other specified / NEC,Asian / HI Native / Pac. Islander,--,"310,022",--,--,--
Arizona,2018,Unspecified,White,102,"6,026,621",1.69,1.45,"1,179"
Arizona,2018,Unspecified,Black,10**,"418,432",2.39**,2.22**,364
Arizona,2018,Unspecified,American Indian / Alaska Native,24,"409,153",5.87,6.74,605
Arizona,2018,Unspecified,Asian / HI Native / Pac. Islander,--,"310,022",--,--,--
Arizona,2017,Cut/Pierce,White,51,"5,940,347",0.86,0.81,836
Arizona,2017,Cut/Pierce,Black,--,"402,977",--,--,--
Arizona,2017,Cut/Pierce,American Indian / Alaska Native,15**,"402,447",3.73**,4.00**,445
Arizona,2017,Cut/Pierce,Asian / HI Native / Pac. Islander,--,"302,317",--,--,--
Arizona,2017,Drowning (includes water transport),White,95,"5,940,347",1.6,1.6,"2,562"
Arizona,2017,Drowning (includes water transport),Black,11**,"402,977",2.73**,2.52**,406
Arizona,2017,Drowning (includes water transport),American Indian / Alaska Native,12**,"402,447",2.98**,2.78**,396
Arizona,2017,Drowning (includes water transport),Asian / HI Native / Pac. Islander,--,"302,317",--,--,--
Arizona,2017,Fall,White,"1,042","5,940,347",17.54,12.79,"1,549"
Arizona,2017,Fall,Black,12**,"402,977",2.98**,5.90**,47
Arizona,2017,Fall,American Indian / Alaska Native,45,"402,447",11.18,17.18,264
Arizona,2017,Fall,Asian / HI Native / Pac. Islander,15**,"302,317",4.96**,7.73**,100
Arizona,2017,Fire/Flame,White,48,"5,940,347",0.81,0.72,565
Arizona,2017,Fire/Flame,Black,--,"402,977",--,--,--
Arizona,2017,Fire/Flame,American Indian / Alaska Native,10**,"402,447",2.49**,3.41**,125
Arizona,2017,Fire/Flame,Asian / HI Native / Pac. Islander,--,"302,317",--,--,--
Arizona,2017,Hot object/Substance,White,--,"5,940,347",--,--,--
Arizona,2017,Firearm,White,983,"5,940,347",16.55,15.76,"19,377"
Arizona,2017,Firearm,Black,83,"402,977",20.6,20.45,"2,559"
Arizona,2017,Firearm,American Indian / Alaska Native,55,"402,447",13.67,13.45,"1,905"
Arizona,2017,Firearm,Asian / HI Native / Pac. Islander,13**,"302,317",4.30**,4.29**,234
Arizona,2017,Machinery,Black,--,"402,977",--,--,--
Arizona,2017,Natural/Environmental,White,128,"5,940,347",2.16,1.83,"1,538"
Arizona,2017,Natural/Environmental,Black,--,"402,977",--,--,--
Arizona,2017,Natural/Environmental,American Indian / Alaska Native,28,"402,447",6.96,9.07,400
Arizona,2017,Natural/Environmental,Asian / HI Native / Pac. Islander,--,"302,317",--,--,--
Arizona,2017,Overexertion,White,--,"5,940,347",--,--,--
Arizona,2017,Drug Poisoning,White,"1,359","5,940,347",22.88,23.25,"28,445"
Arizona,2017,Drug Poisoning,Black,91,"402,977",22.58,23.67,"2,075"
Arizona,2017,Drug Poisoning,American Indian / Alaska Native,66,"402,447",16.4,18.14,"1,736"
Arizona,2017,Drug Poisoning,Asian / HI Native / Pac. Islander,16**,"302,317",5.29**,5.02**,325
Arizona,2017,Non-Drug Poisoning,White,88,"5,940,347",1.48,1.47,"1,432"
Arizona,2017,Non-Drug Poisoning,Black,--,"402,977",--,--,--
Arizona,2017,Non-Drug Poisoning,American Indian / Alaska Native,54,"402,447",13.42,16.33,952
Arizona,2017,Non-Drug Poisoning,Asian / HI Native / Pac. Islander,--,"302,317",--,--,--
Arizona,2017,Struck by / against,White,13**,"5,940,347",0.22**,0.21**,250
Arizona,2017,Struck by / against,American Indian / Alaska Native,--,"402,447",--,--,--
Arizona,2017,Suffocation,White,318,"5,940,347",5.35,5.31,"8,019"
Arizona,2017,Suffocation,Black,21,"402,977",5.21,6.35,576
Arizona,2017,Suffocation,American Indian / Alaska Native,75,"402,447",18.64,19.19,"2,317"
Arizona,2017,Suffocation,Asian / HI Native / Pac. Islander,13**,"302,317",4.30**,4.51**,252
Arizona,2017,"Motor vehicle, traffic",White,745,"5,940,347",12.54,12.04,"15,671"
Arizona,2017,"Motor vehicle, traffic",Black,59,"402,977",14.64,15.67,"1,482"
Arizona,2017,"Motor vehicle, traffic",American Indian / Alaska Native,167,"402,447",41.5,44.57,"4,463"
Arizona,2017,"Motor vehicle, traffic",Asian / HI Native / Pac. Islander,18**,"302,317",5.95**,6.40**,280
Arizona,2017,"Pedal cyclist, other",White,11**,"5,940,347",0.19**,0.15**,68
Arizona,2017,"Pedal cyclist, other",Black,--,"402,977",--,--,--
Arizona,2017,"Pedestrian, other",White,14**,"5,940,347",0.24**,0.24**,264
Arizona,2017,"Pedestrian, other",Black,--,"402,977",--,--,--
Arizona,2017,"Pedestrian, other",American Indian / Alaska Native,--,"402,447",--,--,--
Arizona,2017,"Transport, other land",White,29,"5,940,347",0.49,0.49,576
Arizona,2017,"Transport, other land",American Indian / Alaska Native,--,"402,447",--,--,--
Arizona,2017,"Transport, other land",Asian / HI Native / Pac. Islander,--,"302,317",--,--,--
Arizona,2017,"Transport, other (excl. drown by water transp)",White,19**,"5,940,347",0.32**,0.33**,564
Arizona,2017,Other specified and classifiable,White,61,"5,940,347",1.03,0.97,"1,071"
Arizona,2017,Other specified and classifiable,Black,--,"402,977",--,--,--
Arizona,2017,Other specified and classifiable,American Indian / Alaska Native,--,"402,447",--,--,--
Arizona,2017,Other specified / NEC,White,45,"5,940,347",0.76,0.65,441
Arizona,2017,Other specified / NEC,Black,--,"402,977",--,--,--
Arizona,2017,Other specified / NEC,American Indian / Alaska Native,--,"402,447",--,--,--
Arizona,2017,Unspecified,White,103,"5,940,347",1.73,1.53,"1,373"
Arizona,2017,Unspecified,Black,--,"402,977",--,--,--
Arizona,2017,Unspecified,American Indian / Alaska Native,23,"402,447",5.72,6.54,621
Arizona,2017,Unspecified,Asian / HI Native / Pac. Islander,--,"302,317",--,--,--
Arizona,2016,Cut/Pierce,White,30,"5,866,937",0.51,0.5,609
Arizona,2016,Cut/Pierce,Black,--,"389,062",--,--,--
Arizona,2016,Cut/Pierce,American Indian / Alaska Native,16**,"396,100",4.04**,3.76**,482
Arizona,2016,Cut/Pierce,Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
Arizona,2016,Drowning (includes water transport),White,98,"5,866,937",1.67,1.6,"2,487"
Arizona,2016,Drowning (includes water transport),Black,--,"389,062",--,--,--
Arizona,2016,Drowning (includes water transport),American Indian / Alaska Native,--,"396,100",--,--,--
Arizona,2016,Drowning (includes water transport),Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
Arizona,2016,Fall,White,"1,061","5,866,937",18.08,13.61,"1,550"
Arizona,2016,Fall,Black,11**,"389,062",2.83**,5.37**,34
Arizona,2016,Fall,American Indian / Alaska Native,44,"396,100",11.11,17.89,387
Arizona,2016,Fall,Asian / HI Native / Pac. Islander,17**,"292,668",5.81**,8.99**,59
Arizona,2016,Fire/Flame,White,37,"5,866,937",0.63,0.52,353
Arizona,2016,Fire/Flame,Black,--,"389,062",--,--,--
Arizona,2016,Fire/Flame,American Indian / Alaska Native,10**,"396,100",2.53**,2.85**,188
Arizona,2016,Fire/Flame,Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
Arizona,2016,Hot object/Substance,White,--,"5,866,937",--,--,--
Arizona,2016,Hot object/Substance,Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
Arizona,2016,Firearm,White,955,"5,866,937",16.28,15.34,"17,596"
Arizona,2016,Firearm,Black,84,"389,062",21.59,21.03,"2,705"
Arizona,2016,Firearm,American Indian / Alaska Native,36,"396,100",9.09,9.01,"1,160"
Arizona,2016,Firearm,Asian / HI Native / Pac. Islander,19**,"292,668",6.49**,6.11**,639
Arizona,2016,Machinery,White,--,"5,866,937",--,--,--
Arizona,2016,Natural/Environmental,White,104,"5,866,937",1.77,1.46,879
Arizona,2016,Natural/Environmental,Black,--,"389,062",--,--,--
Arizona,2016,Natural/Environmental,American Indian / Alaska Native,26,"396,100",6.56,8.52,332
Arizona,2016,Natural/Environmental,Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
Arizona,2016,Drug Poisoning,White,"1,239","5,866,937",21.12,21.44,"26,528"
Arizona,2016,Drug Poisoning,Black,68,"389,062",17.48,18.86,"1,476"
Arizona,2016,Drug Poisoning,American Indian / Alaska Native,61,"396,100",15.4,16.34,"1,622"
Arizona,2016,Drug Poisoning,Asian / HI Native / Pac. Islander,14**,"292,668",4.78**,4.75**,356
Arizona,2016,Non-Drug Poisoning,White,120,"5,866,937",2.05,1.96,"1,921"
Arizona,2016,Non-Drug Poisoning,Black,--,"389,062",--,--,--
Arizona,2016,Non-Drug Poisoning,American Indian / Alaska Native,75,"396,100",18.94,21.42,"1,445"
Arizona,2016,Non-Drug Poisoning,Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
Arizona,2016,Struck by / against,White,--,"5,866,937",--,--,--
Arizona,2016,Struck by / against,American Indian / Alaska Native,--,"396,100",--,--,--
Arizona,2016,Struck by / against,Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
Arizona,2016,Suffocation,White,307,"5,866,937",5.23,5.21,"6,795"
Arizona,2016,Suffocation,Black,18**,"389,062",4.63**,4.50**,732
Arizona,2016,Suffocation,American Indian / Alaska Native,70,"396,100",17.67,16.96,"2,440"
Arizona,2016,Suffocation,Asian / HI Native / Pac. Islander,14**,"292,668",4.78**,4.43**,433
Arizona,2016,"Motor vehicle, traffic",White,706,"5,866,937",12.03,11.43,"14,407"
Arizona,2016,"Motor vehicle, traffic",Black,63,"389,062",16.19,17.65,"1,706"
Arizona,2016,"Motor vehicle, traffic",American Indian / Alaska Native,146,"396,100",36.86,40.19,"4,070"
Arizona,2016,"Motor vehicle, traffic",Asian / HI Native / Pac. Islander,19**,"292,668",6.49**,7.03**,370
Arizona,2016,"Pedal cyclist, other",White,--,"5,866,937",--,--,--
Arizona,2016,"Pedestrian, other",White,22,"5,866,937",0.38,0.38,611
Arizona,2016,"Pedestrian, other",Black,--,"389,062",--,--,--
Arizona,2016,"Pedestrian, other",American Indian / Alaska Native,--,"396,100",--,--,--
Arizona,2016,"Transport, other land",White,41,"5,866,937",0.7,0.67,921
Arizona,2016,"Transport, other land",Black,--,"389,062",--,--,--
Arizona,2016,"Transport, other land",American Indian / Alaska Native,--,"396,100",--,--,--
Arizona,2016,"Transport, other land",Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
Arizona,2016,"Transport, other (excl. drown by water transp)",White,14**,"5,866,937",0.24**,0.22**,207
Arizona,2016,"Transport, other (excl. drown by water transp)",American Indian / Alaska Native,--,"396,100",--,--,--
Arizona,2016,"Transport, other (excl. drown by water transp)",Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
Arizona,2016,Other specified and classifiable,White,46,"5,866,937",0.78,0.7,795
Arizona,2016,Other specified and classifiable,Black,--,"389,062",--,--,--
Arizona,2016,Other specified and classifiable,American Indian / Alaska Native,--,"396,100",--,--,--
Arizona,2016,Other specified and classifiable,Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
Arizona,2016,Other specified / NEC,White,38,"5,866,937",0.65,0.57,515
Arizona,2016,Other specified / NEC,Black,--,"389,062",--,--,--
Arizona,2016,Other specified / NEC,American Indian / Alaska Native,--,"396,100",--,--,--
Arizona,2016,Unspecified,White,98,"5,866,937",1.67,1.48,"1,232"
Arizona,2016,Unspecified,Black,--,"389,062",--,--,--
Arizona,2016,Unspecified,American Indian / Alaska Native,27,"396,100",6.82,8.14,528
Arizona,2016,Unspecified,Asian / HI Native / Pac. Islander,--,"292,668",--,--,--
